 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  712.5   2843   -3.5  -25.8     16   0.66    280   23.3  297.1  299.3  297.2
  711.4   2854   -3.5  -31.7      9   0.38    280   23.3  297.2  298.5  297.3
  710.3   2866   -3.5  -35.0      7   0.28    280   23.3  297.3  298.2  297.3
  709.2   2878   -3.6  -39.3      4   0.18    280   23.3  297.3  298.0  297.4
  708.1   2891   -3.7  -40.4      4   0.16    280   23.3  297.4  298.0  297.4
  707.1   2902   -3.7  -38.9      5   0.19    280   23.3  297.5  298.2  297.6
  706.0   2914   -3.8  -38.9      5   0.19    280   23.3  297.6  298.2  297.6
  705.0   2926   -3.8  -37.3      5   0.22    280   23.3  297.6  298.4  297.7
  704.0   2936   -3.9  -36.1      6   0.25    280   23.4  297.7  298.5  297.7
  703.0   2947   -4.0  -35.8      6   0.26    280   23.4  297.7  298.6  297.7
  702.0   2958   -4.1  -35.1      7   0.28    280   23.5  297.7  298.6  297.7
  700.9   2972   -4.2  -34.3      8   0.30    280   23.5  297.7  298.7  297.7
  700.0   2981   -4.2  -35.6      7   0.26    280   23.5  297.8  298.7  297.8
  699.8   2984   -4.2  -36.0      6   0.25    280   23.6  297.8  298.7  297.8
  698.6   2997   -4.3  -38.0      5   0.21    279   23.6  297.9  298.6  297.9
  697.4   3010   -4.3  -37.3      6   0.22    279   23.7  298.0  298.8  298.1
  696.3   3023   -4.3  -33.5      8   0.33    279   23.8  298.2  299.3  298.2
  695.2   3036   -4.3  -30.7     11   0.43    279   23.8  298.2  299.7  298.3
  694.1   3047   -4.4  -30.4     11   0.44    279   23.8  298.3  299.8  298.4
  693.1   3060   -4.5  -29.7     12   0.47    279   23.8  298.3  299.9  298.4
  692.0   3072   -4.6  -30.2     11   0.45    279   23.8  298.3  299.8  298.4
  690.9   3083   -4.7  -30.5     11   0.44    279   23.8  298.3  299.8  298.4
  689.9   3096   -4.8  -30.9     11   0.42    278   23.7  298.4  299.8  298.4
  688.8   3109   -4.9  -31.4     10   0.40    278   23.7  298.4  299.8  298.5
  687.7   3122   -5.0  -31.0     11   0.42    278   23.6  298.4  299.9  298.5
  686.7   3132   -5.1  -31.7     10   0.39    278   23.6  298.4  299.8  298.5
  685.7   3145   -5.1  -33.2      9   0.34    278   23.5  298.5  299.7  298.6
  684.6   3156   -5.2  -32.8      9   0.35    278   23.5  298.6  299.8  298.6
  683.6   3167   -5.3  -31.1     11   0.42    277   23.4  298.6  300.0  298.7
  682.5   3180   -5.4  -27.2     16   0.60    277   23.4  298.6  300.7  298.7
  681.3   3194   -5.5  -21.2     28   1.04    277   23.4  298.7  302.0  298.8
  680.2   3207   -5.6  -20.6     29   1.09    277   23.5  298.7  302.3  298.9
  679.1   3220   -5.6  -22.9     24   0.90    277   23.5  298.9  301.8  299.0
  678.0   3233   -5.6  -23.7     23   0.84    277   23.5  299.0  301.8  299.2
  676.8   3246   -5.7  -23.7     23   0.84    278   23.5  299.1  301.8  299.2
  675.7   3259   -5.8  -23.8     23   0.83    278   23.6  299.1  301.8  299.2
  674.6   3271   -5.8  -24.0     22   0.82    278   23.6  299.2  301.9  299.3
  673.6   3284   -5.9  -24.6     21   0.78    279   23.6  299.2  301.8  299.3
  672.5   3295   -6.0  -25.9     19   0.69    279   23.7  299.3  301.6  299.4
  671.4   3308   -6.0  -27.4     17   0.60    279   23.7  299.3  301.3  299.4
  670.4   3322   -6.1  -28.9     15   0.53    280   23.8  299.3  301.1  299.4
  669.4   3332   -6.2  -29.5     14   0.50    280   23.8  299.4  301.0  299.4
  668.4   3343   -6.3  -29.8     14   0.49    281   23.9  299.4  301.0  299.5
  667.4   3355   -6.4  -30.1     13   0.47    281   24.0  299.4  301.0  299.5
  666.3   3369   -6.5  -30.8     13   0.44    281   24.0  299.4  300.9  299.5
  665.3   3381   -6.6  -32.3     11   0.38    281   24.1  299.5  300.8  299.6
  664.2   3393   -6.6  -30.9     13   0.44    281   24.2  299.6  301.1  299.7
  663.2   3405   -6.7  -28.0     17   0.58    282   24.3  299.6  301.6  299.7
  662.1   3419   -6.8  -24.9     22   0.77    282   24.3  299.6  302.2  299.7
  661.1   3430   -7.0  -22.3     28   0.97    282   24.4  299.6  302.8  299.8
  660.1   3440   -7.0  -21.0     32   1.09    282   24.4  299.6  303.2  299.8
  659.1   3453   -7.1  -21.1     32   1.08    282   24.4  299.7  303.3  299.9
  658.1   3466   -7.2  -21.2     32   1.08    282   24.3  299.8  303.3  300.0
  657.1   3477   -7.2  -21.7     30   1.02    282   24.3  299.8  303.2  300.0
  656.1   3489   -7.3  -22.9     28   0.93    282   24.2  299.9  302.9  300.0
  655.1   3501   -7.4  -24.5     24   0.81    282   24.1  299.9  302.6  300.1
  654.0   3513   -7.4  -26.5     20   0.67    282   24.0  300.0  302.3  300.1
  653.0   3525   -7.5  -26.4     20   0.68    282   23.8  300.1  302.4  300.2
  652.0   3538   -7.5  -26.1     21   0.70    282   23.7  300.1  302.5  300.3
  650.9   3551   -7.6  -25.9     22   0.72    282   23.6  300.2  302.6  300.4
  649.9   3562   -7.6  -23.1     28   0.92    282   23.6  300.3  303.3  300.5
  648.9   3575   -7.8  -20.2     36   1.19    282   23.5  300.3  304.2  300.5
  648.0   3586   -7.9  -19.0     41   1.32    282   23.5  300.3  304.6  300.5
  647.0   3597   -8.0  -17.5     46   1.50    282   23.5  300.3  305.1  300.5
  646.1   3608   -8.1  -17.0     49   1.57    282   23.6  300.2  305.3  300.5
  645.2   3618   -8.2  -16.9     50   1.58    282   23.7  300.2  305.3  300.5
  644.2   3630   -8.3  -16.4     52   1.65    282   23.8  300.3  305.5  300.6
  643.2   3643   -8.5  -15.2     58   1.83    282   23.9  300.2  306.1  300.6
  642.2   3655   -8.5  -15.1     59   1.85    283   24.0  300.3  306.2  300.7
  641.1   3667   -8.5  -15.6     57   1.77    283   24.1  300.5  306.1  300.8
  640.1   3681   -8.6  -16.2     54   1.68    283   24.3  300.5  305.9  300.9
  639.0   3695   -8.6  -16.3     54   1.68    283   24.4  300.7  306.1  301.0
  638.0   3707   -8.6  -15.8     56   1.75    283   24.5  300.8  306.4  301.1
  637.0   3718   -8.7  -15.8     56   1.75    283   24.6  300.8  306.4  301.1
  636.1   3729   -8.8  -15.9     57   1.75    283   24.7  300.8  306.4  301.1
  635.1   3741   -8.9  -15.9     57   1.74    283   24.8  300.8  306.4  301.1
  634.2   3753   -9.0  -16.1     57   1.72    283   24.8  300.8  306.4  301.1
  633.2   3764   -9.1  -16.7     54   1.64    282   24.9  300.9  306.2  301.2
